
2025/03/26 (01:25:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (01:26:06) | ===> btop++ v.1.4.0
2025/03/26 (01:26:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (19:15:14) | ===> btop++ v.1.4.0
2025/03/27 (19:15:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (21:58:18) | ===> btop++ v.1.4.0
2025/03/28 (21:58:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (22:02:23) | ===> btop++ v.1.4.0
2025/03/28 (22:02:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (22:05:27) | ===> btop++ v.1.4.0
2025/03/28 (22:05:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (23:30:27) | ===> btop++ v.1.4.0
2025/03/28 (23:30:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (23:54:18) | ===> btop++ v.1.4.0
2025/03/28 (23:54:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (18:16:32) | ===> btop++ v.1.4.0
2025/03/30 (18:16:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (18:36:30) | ===> btop++ v.1.4.0
2025/03/30 (18:36:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (18:46:28) | ===> btop++ v.1.4.0
2025/03/30 (18:46:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (20:15:49) | ===> btop++ v.1.4.0
2025/03/30 (20:15:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (21:22:51) | ===> btop++ v.1.4.0
2025/03/30 (21:22:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (22:57:52) | ===> btop++ v.1.4.0
2025/03/30 (22:57:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (01:11:18) | ===> btop++ v.1.4.0
2025/03/31 (01:11:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (01:12:39) | ===> btop++ v.1.4.0
2025/03/31 (01:12:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (02:15:35) | ===> btop++ v.1.4.0
2025/03/31 (02:15:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (17:36:44) | ===> btop++ v.1.4.0
2025/03/31 (17:36:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (17:33:07) | ===> btop++ v.1.4.0
2025/04/02 (17:33:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (18:13:50) | ===> btop++ v.1.4.0
2025/04/02 (18:13:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (14:17:38) | ===> btop++ v.1.4.0
2025/04/06 (14:17:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (12:47:45) | ===> btop++ v.1.4.0
2025/04/09 (12:47:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (16:12:55) | ===> btop++ v.1.4.0
2025/04/10 (16:12:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (21:25:31) | ===> btop++ v.1.4.0
2025/04/24 (21:25:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (21:28:47) | ===> btop++ v.1.4.0
2025/04/24 (21:28:47) | WARNING: Intel GPU: Failed to initialize PMU
